category,subcategory,orders,units_sold,revenue,return_rate_pct,margin_pct
Gift & Novelty,General Gifts,30465,2884886,4427478.18,4.99,37.46
Home & Decor,Storage,21247,678987,1662851.26,4.95,40.87
Fashion,Bags,16556,1015421,1628694.43,4.89,40.42
Kitchen,Drinkware,20391,1055463,1613335.48,5.1,34.6
Home & Decor,Lighting,19373,938906,1564824.82,5.01,37.8
Home & Decor,Vintage Signs,20770,968771,1527451.7,5.06,39.13
Home & Decor,Wall Art,20303,803973,1468697.54,5.06,38.28
Seasonal,Christmas,8926,536192,713581.5,4.9,39.39
Garden,Outdoor,10245,306470,601521.71,5.12,41.73
Gift & Novelty,Romantic,14375,343426,559339.72,5.05,33.73
Celebrations,Party Supplies,9880,330350,431724.98,5.12,40.59
Stationery,Cards & Notes,10442,358744,333270.92,5.15,31.73
Toys & Games,Toys,8158,152443,320142.62,4.76,40.82
Home & Decor,Clocks,3190,43346,186426.44,4.78,42.64
Fashion,Jewellery,6137,181955,177231.27,4.92,40.85
Home & Decor,Soft Furnishings,3224,38146,130830.9,4.7,39.78
Beauty,Bath & Body,3754,53208,100588.31,4.8,37.93
