customer_id,region,age_group,gender,last_order_date,total_orders,days_inactive,churn_status
13526,Europe,55+,Female,2009-12-01,2,738,Churned
14654,Europe,25-34,Female,2009-12-01,1,738,Churned
17056,Europe,35-44,Female,2009-12-01,1,738,Churned
17592,Europe,55+,Female,2009-12-01,1,738,Churned
14106,Europe,25-34,Female,2009-12-02,1,737,Churned
14980,Europe,35-44,Female,2009-12-02,1,737,Churned
15833,Europe,35-44,Female,2009-12-02,1,737,Churned
17087,Europe,35-44,Male,2009-12-02,1,737,Churned
17606,Europe,55+,Female,2009-12-02,1,737,Churned
17818,Europe,35-44,Female,2009-12-02,1,737,Churned
17909,Europe,25-34,Female,2009-12-02,1,737,Churned
12934,Europe,55+,Male,2009-12-03,1,736,Churned
14347,Europe,35-44,Male,2009-12-03,1,736,Churned
14750,Europe,35-44,Male,2009-12-03,1,736,Churned
15794,Europe,55+,Female,2009-12-03,2,736,Churned
16301,Europe,35-44,Male,2009-12-03,1,736,Churned
17271,Europe,25-34,Female,2009-12-03,1,736,Churned
14979,Europe,18-24,Female,2009-12-04,1,735,Churned
15999,Europe,25-34,Female,2009-12-04,1,735,Churned
16192,Europe,35-44,Female,2009-12-04,1,735,Churned
16541,Europe,25-34,Male,2009-12-04,1,735,Churned
16645,Europe,55+,Male,2009-12-04,1,735,Churned
17151,Europe,18-24,Female,2009-12-04,1,735,Churned
16410,Europe,45-54,Female,2009-12-05,1,734,Churned
14123,Europe,18-24,Female,2009-12-06,1,733,Churned
14468,Europe,35-44,Female,2009-12-06,1,733,Churned
14717,Europe,25-34,Male,2009-12-06,1,733,Churned
15479,Europe,25-34,Male,2009-12-06,1,733,Churned
16277,Europe,25-34,Male,2009-12-06,1,733,Churned
16964,Europe,45-54,Female,2009-12-06,2,733,Churned
12443,Europe,35-44,Male,2009-12-07,1,732,Churned
13905,Europe,35-44,Male,2009-12-07,1,732,Churned
14003,Europe,18-24,Female,2009-12-07,1,732,Churned
14574,Europe,55+,Female,2009-12-07,1,732,Churned
14955,Europe,18-24,Female,2009-12-07,1,732,Churned
17441,Europe,45-54,Female,2009-12-07,1,732,Churned
18162,Europe,18-24,Female,2009-12-07,1,732,Churned
13025,Europe,25-34,Female,2009-12-08,1,731,Churned
13204,Europe,25-34,Male,2009-12-08,1,731,Churned
15162,Europe,35-44,Female,2009-12-08,1,731,Churned
15924,Europe,25-34,Female,2009-12-08,1,731,Churned
17178,Europe,35-44,Male,2009-12-08,1,731,Churned
12487,Europe,25-34,Female,2009-12-09,1,730,Churned
13114,Europe,45-54,Male,2009-12-09,1,730,Churned
13498,Europe,25-34,Male,2009-12-09,1,730,Churned
15209,Europe,45-54,Female,2009-12-09,1,730,Churned
15302,Europe,25-34,Male,2009-12-09,1,730,Churned
17296,Europe,35-44,Male,2009-12-09,1,730,Churned
12979,Middle East,25-34,Male,2009-12-10,1,729,Churned
15085,Europe,18-24,Female,2009-12-10,1,729,Churned
15642,Europe,25-34,Male,2009-12-10,1,729,Churned
15823,Europe,18-24,Female,2009-12-10,2,729,Churned
16459,Europe,35-44,Male,2009-12-10,1,729,Churned
16663,Europe,18-24,Male,2009-12-10,1,729,Churned
16901,Europe,18-24,Male,2009-12-10,1,729,Churned
17487,Europe,35-44,Female,2009-12-11,1,728,Churned
13087,Europe,25-34,Male,2009-12-13,1,726,Churned
13768,Europe,45-54,Female,2009-12-13,2,726,Churned
17066,Europe,25-34,Female,2009-12-13,1,726,Churned
17910,Europe,35-44,Male,2009-12-13,1,726,Churned
12992,Europe,35-44,Female,2009-12-14,1,725,Churned
14042,Europe,55+,Female,2009-12-14,1,725,Churned
14977,Europe,35-44,Female,2009-12-14,1,725,Churned
15188,Europe,35-44,Male,2009-12-14,1,725,Churned
15534,Europe,45-54,Female,2009-12-14,1,725,Churned
15672,Europe,45-54,Male,2009-12-14,1,725,Churned
16064,Europe,35-44,Male,2009-12-14,1,725,Churned
16280,Europe,45-54,Male,2009-12-14,1,725,Churned
17012,Europe,35-44,Male,2009-12-14,1,725,Churned
17318,Europe,18-24,Female,2009-12-14,1,725,Churned
12941,Europe,35-44,Female,2009-12-15,1,724,Churned
16605,Europe,45-54,Female,2009-12-15,1,724,Churned
17067,Europe,45-54,Female,2009-12-15,3,724,Churned
13289,Europe,35-44,Female,2009-12-16,1,723,Churned
15499,Europe,55+,Female,2009-12-16,1,723,Churned
16195,Europe,55+,Female,2009-12-16,1,723,Churned
16694,Europe,25-34,Female,2009-12-16,1,723,Churned
17833,Europe,55+,Female,2009-12-16,1,723,Churned
18012,Europe,55+,Male,2009-12-16,1,723,Churned
14095,Europe,25-34,Male,2009-12-17,1,722,Churned
16439,Europe,25-34,Female,2009-12-17,1,722,Churned
16908,Europe,45-54,Female,2009-12-17,1,722,Churned
17103,Europe,45-54,Female,2009-12-17,1,722,Churned
18186,Europe,45-54,Female,2009-12-17,1,722,Churned
18201,Europe,25-34,Female,2009-12-17,1,722,Churned
15409,Europe,25-34,Male,2009-12-18,1,721,Churned
17927,Europe,35-44,Female,2009-12-18,1,721,Churned
13847,Europe,25-34,Female,2009-12-20,1,719,Churned
13111,Europe,35-44,Female,2009-12-21,1,718,Churned
14969,Europe,55+,Female,2010-01-05,1,703,Churned
15324,Europe,35-44,Male,2010-01-07,1,701,Churned
18115,Europe,25-34,Female,2010-01-11,1,697,Churned
13622,Europe,25-34,Female,2010-01-12,1,696,Churned
17352,Europe,55+,Female,2010-01-12,1,696,Churned
17945,Europe,55+,Female,2010-01-12,3,696,Churned
14137,Europe,35-44,Female,2010-01-13,1,695,Churned
16304,Europe,25-34,Male,2010-01-14,1,694,Churned
12860,Europe,25-34,Male,2010-01-15,1,693,Churned
13907,Europe,25-34,Female,2010-01-17,1,691,Churned
15413,Europe,45-54,Female,2010-01-17,5,691,Churned
14892,Europe,55+,Female,2010-01-18,1,690,Churned
15375,Europe,55+,Male,2010-01-18,1,690,Churned
12470,Other,55+,Female,2010-01-19,1,689,Churned
13315,Europe,55+,Male,2010-01-19,1,689,Churned
14983,Europe,45-54,Female,2010-01-19,1,689,Churned
15697,Europe,35-44,Female,2010-01-19,1,689,Churned
16867,Europe,45-54,Male,2010-01-19,1,689,Churned
13457,Europe,25-34,Male,2010-01-20,2,688,Churned
17875,Europe,25-34,Female,2010-01-20,1,688,Churned
14207,Europe,55+,Female,2010-01-21,1,687,Churned
14063,Europe,35-44,Female,2010-01-22,7,686,Churned
14274,Europe,35-44,Male,2010-01-22,1,686,Churned
16822,Europe,35-44,Male,2010-01-22,1,686,Churned
17794,Europe,35-44,Female,2010-01-22,2,686,Churned
13036,Europe,45-54,Male,2010-01-24,1,684,Churned
14070,Europe,18-24,Male,2010-01-24,1,684,Churned
14751,Europe,25-34,Female,2010-01-24,2,684,Churned
14879,Europe,25-34,Female,2010-01-24,1,684,Churned
14376,Europe,45-54,Female,2010-01-25,1,683,Churned
14519,Europe,18-24,Male,2010-01-25,2,683,Churned
