cohort_month,cohort_size,period,active,retention_pct
2009-12,951,0,951,100.0
2009-12,951,1,333,35.0
2009-12,951,2,317,33.3
2009-12,951,3,404,42.5
2009-12,951,4,360,37.9
2009-12,951,5,342,36.0
2009-12,951,6,358,37.6
2009-12,951,7,327,34.4
2009-12,951,8,321,33.8
2009-12,951,9,344,36.2
2009-12,951,10,401,42.2
2009-12,951,11,472,49.6
2010-01,368,0,368,100.0
2010-01,368,1,79,21.5
2010-01,368,2,118,32.1
2010-01,368,3,116,31.5
2010-01,368,4,100,27.2
2010-01,368,5,115,31.3
2010-01,368,6,99,26.9
2010-01,368,7,86,23.4
2010-01,368,8,105,28.5
2010-01,368,9,120,32.6
2010-01,368,10,114,31.0
2010-01,368,11,66,17.9
2010-02,375,0,375,100.0
2010-02,375,1,88,23.5
2010-02,375,2,85,22.7
2010-02,375,3,110,29.3
2010-02,375,4,92,24.5
2010-02,375,5,74,19.7
2010-02,375,6,72,19.2
2010-02,375,7,108,28.8
2010-02,375,8,96,25.6
2010-02,375,9,104,27.7
2010-02,375,10,43,11.5
2010-02,375,11,47,12.5
2010-03,441,0,441,100.0
2010-03,441,1,84,19.0
2010-03,441,2,102,23.1
2010-03,441,3,107,24.3
2010-03,441,4,102,23.1
2010-03,441,5,90,20.4
2010-03,441,6,109,24.7
2010-03,441,7,135,30.6
2010-03,441,8,122,27.7
2010-03,441,9,48,10.9
2010-03,441,10,51,11.6
2010-03,441,11,64,14.5
2010-04,294,0,294,100.0
2010-04,294,1,56,19.0
2010-04,294,2,56,19.0
2010-04,294,3,47,16.0
2010-04,294,4,54,18.4
2010-04,294,5,65,22.1
2010-04,294,6,81,27.6
2010-04,294,7,78,26.5
2010-04,294,8,31,10.5
2010-04,294,9,32,10.9
2010-04,294,10,22,7.5
2010-04,294,11,41,13.9
2010-05,255,0,255,100.0
2010-05,255,1,40,15.7
2010-05,255,2,43,16.9
2010-05,255,3,45,17.6
2010-05,255,4,45,17.6
2010-05,255,5,65,25.5
2010-05,255,6,54,21.2
2010-05,255,7,32,12.5
2010-05,255,8,15,5.9
2010-05,255,9,21,8.2
2010-05,255,10,29,11.4
2010-05,255,11,34,13.3
2010-06,267,0,267,100.0
2010-06,267,1,47,17.6
2010-06,267,2,50,18.7
2010-06,267,3,55,20.6
2010-06,267,4,62,23.2
2010-06,267,5,76,28.5
2010-06,267,6,34,12.7
2010-06,267,7,24,9.0
2010-06,267,8,22,8.2
2010-06,267,9,30,11.2
2010-06,267,10,28,10.5
2010-06,267,11,37,13.9
2010-07,186,0,186,100.0
2010-07,186,1,29,15.6
2010-07,186,2,34,18.3
2010-07,186,3,55,29.6
2010-07,186,4,54,29.0
2010-07,186,5,26,14.0
2010-07,186,6,21,11.3
2010-07,186,7,27,14.5
2010-07,186,8,27,14.5
2010-07,186,9,21,11.3
2010-07,186,10,25,13.4
2010-07,186,11,27,14.5
2010-08,163,0,163,100.0
2010-08,163,1,32,19.6
2010-08,163,2,47,28.8
2010-08,163,3,53,32.5
2010-08,163,4,27,16.6
2010-08,163,5,19,11.7
2010-08,163,6,16,9.8
2010-08,163,7,21,12.9
2010-08,163,8,22,13.5
2010-08,163,9,21,12.9
2010-08,163,10,21,12.9
2010-08,163,11,19,11.7
2010-09,239,0,239,100.0
2010-09,239,1,55,23.0
2010-09,239,2,56,23.4
2010-09,239,3,31,13.0
2010-09,239,4,21,8.8
2010-09,239,5,25,10.5
2010-09,239,6,33,13.8
2010-09,239,7,23,9.6
2010-09,239,8,31,13.0
2010-09,239,9,31,13.0
2010-09,239,10,29,12.1
2010-09,239,11,24,10.0
2010-10,375,0,375,100.0
2010-10,375,1,97,25.9
2010-10,375,2,55,14.7
2010-10,375,3,47,12.5
2010-10,375,4,33,8.8
2010-10,375,5,31,8.3
2010-10,375,6,49,13.1
2010-10,375,7,52,13.9
2010-10,375,8,40,10.7
2010-10,375,9,35,9.3
2010-10,375,10,40,10.7
2010-10,375,11,48,12.8
2010-11,326,0,326,100.0
2010-11,326,1,57,17.5
2010-11,326,2,31,9.5
2010-11,326,3,31,9.5
2010-11,326,4,25,7.7
2010-11,326,5,29,8.9
2010-11,326,6,42,12.9
2010-11,326,7,33,10.1
2010-11,326,8,28,8.6
2010-11,326,9,30,9.2
2010-11,326,10,36,11.0
2010-11,326,11,48,14.7
2010-12,76,0,76,100.0
2010-12,76,1,7,9.2
2010-12,76,2,4,5.3
2010-12,76,3,7,9.2
2010-12,76,4,9,11.8
2010-12,76,5,5,6.6
2010-12,76,6,4,5.3
2010-12,76,7,7,9.2
2010-12,76,8,4,5.3
2010-12,76,9,2,2.6
2010-12,76,10,7,9.2
2010-12,76,11,15,19.7
2011-01,72,0,72,100.0
2011-01,72,1,12,16.7
2011-01,72,2,16,22.2
2011-01,72,3,14,19.4
2011-01,72,4,16,22.2
2011-01,72,5,11,15.3
2011-01,72,6,11,15.3
2011-01,72,7,9,12.5
2011-01,72,8,8,11.1
2011-01,72,9,15,20.8
2011-01,72,10,18,25.0
2011-01,72,11,8,11.1
2011-02,125,0,125,100.0
2011-02,125,1,20,16.0
2011-02,125,2,20,16.0
2011-02,125,3,23,18.4
2011-02,125,4,27,21.6
2011-02,125,5,20,16.0
2011-02,125,6,20,16.0
2011-02,125,7,19,15.2
2011-02,125,8,19,15.2
2011-02,125,9,23,18.4
2011-02,125,10,8,6.4
2011-03,179,0,179,100.0
2011-03,179,1,32,17.9
2011-03,179,2,39,21.8
2011-03,179,3,36,20.1
2011-03,179,4,40,22.3
2011-03,179,5,27,15.1
2011-03,179,6,37,20.7
2011-03,179,7,36,20.1
2011-03,179,8,43,24.0
2011-03,179,9,17,9.5
2011-04,106,0,106,100.0
2011-04,106,1,26,24.5
2011-04,106,2,21,19.8
2011-04,106,3,21,19.8
2011-04,106,4,19,17.9
2011-04,106,5,25,23.6
2011-04,106,6,19,17.9
2011-04,106,7,27,25.5
2011-04,106,8,12,11.3
2011-05,111,0,111,100.0
2011-05,111,1,26,23.4
2011-05,111,2,27,24.3
2011-05,111,3,18,16.2
2011-05,111,4,24,21.6
2011-05,111,5,23,20.7
2011-05,111,6,29,26.1
2011-05,111,7,13,11.7
2011-06,108,0,108,100.0
2011-06,108,1,25,23.1
2011-06,108,2,23,21.3
2011-06,108,3,29,26.9
2011-06,108,4,22,20.4
2011-06,108,5,30,27.8
2011-06,108,6,9,8.3
2011-07,101,0,101,100.0
2011-07,101,1,21,20.8
2011-07,101,2,30,29.7
2011-07,101,3,28,27.7
2011-07,101,4,35,34.7
2011-07,101,5,16,15.8
2011-08,107,0,107,100.0
2011-08,107,1,28,26.2
2011-08,107,2,32,29.9
2011-08,107,3,28,26.2
2011-08,107,4,18,16.8
2011-09,188,0,188,100.0
2011-09,188,1,51,27.1
2011-09,188,2,71,37.8
2011-09,188,3,28,14.9
2011-10,221,0,221,100.0
2011-10,221,1,70,31.7
2011-10,221,2,35,15.8
2011-11,191,0,191,100.0
2011-11,191,1,27,14.1
2011-12,28,0,28,100.0
