cohort_month,cohort_size,period_number,active_customers,retention_pct
2009-12,951,0,951,100.0
2009-12,951,1,333,35.02
2009-12,951,2,317,33.33
2009-12,951,3,404,42.48
2009-12,951,4,360,37.85
2009-12,951,5,342,35.96
2009-12,951,6,358,37.64
2009-12,951,7,327,34.38
2009-12,951,8,321,33.75
2009-12,951,9,344,36.17
2009-12,951,10,401,42.17
2009-12,951,11,472,49.63
2010-01,368,0,368,100.0
2010-01,368,1,79,21.47
2010-01,368,2,118,32.07
2010-01,368,3,116,31.52
2010-01,368,4,100,27.17
2010-01,368,5,115,31.25
2010-01,368,6,99,26.9
2010-01,368,7,86,23.37
2010-01,368,8,105,28.53
2010-01,368,9,120,32.61
2010-01,368,10,114,30.98
2010-01,368,11,66,17.93
2010-02,375,0,375,100.0
2010-02,375,1,88,23.47
2010-02,375,2,85,22.67
2010-02,375,3,110,29.33
2010-02,375,4,92,24.53
2010-02,375,5,74,19.73
2010-02,375,6,72,19.2
2010-02,375,7,108,28.8
2010-02,375,8,96,25.6
2010-02,375,9,104,27.73
2010-02,375,10,43,11.47
2010-02,375,11,47,12.53
2010-03,441,0,441,100.0
2010-03,441,1,84,19.05
2010-03,441,2,102,23.13
2010-03,441,3,107,24.26
2010-03,441,4,102,23.13
2010-03,441,5,90,20.41
2010-03,441,6,109,24.72
2010-03,441,7,135,30.61
2010-03,441,8,122,27.66
2010-03,441,9,48,10.88
2010-03,441,10,51,11.56
2010-03,441,11,64,14.51
2010-04,294,0,294,100.0
2010-04,294,1,56,19.05
2010-04,294,2,56,19.05
2010-04,294,3,47,15.99
2010-04,294,4,54,18.37
2010-04,294,5,65,22.11
2010-04,294,6,81,27.55
2010-04,294,7,78,26.53
2010-04,294,8,31,10.54
2010-04,294,9,32,10.88
2010-04,294,10,22,7.48
2010-04,294,11,41,13.95
2010-05,255,0,255,100.0
2010-05,255,1,40,15.69
2010-05,255,2,43,16.86
2010-05,255,3,45,17.65
2010-05,255,4,45,17.65
2010-05,255,5,65,25.49
2010-05,255,6,54,21.18
2010-05,255,7,32,12.55
2010-05,255,8,15,5.88
2010-05,255,9,21,8.24
2010-05,255,10,29,11.37
2010-05,255,11,34,13.33
2010-06,267,0,267,100.0
2010-06,267,1,47,17.6
2010-06,267,2,50,18.73
2010-06,267,3,55,20.6
2010-06,267,4,62,23.22
2010-06,267,5,76,28.46
2010-06,267,6,34,12.73
2010-06,267,7,24,8.99
2010-06,267,8,22,8.24
2010-06,267,9,30,11.24
2010-06,267,10,28,10.49
2010-06,267,11,37,13.86
2010-07,186,0,186,100.0
2010-07,186,1,29,15.59
2010-07,186,2,34,18.28
2010-07,186,3,55,29.57
2010-07,186,4,54,29.03
2010-07,186,5,26,13.98
2010-07,186,6,21,11.29
2010-07,186,7,27,14.52
2010-07,186,8,27,14.52
2010-07,186,9,21,11.29
2010-07,186,10,25,13.44
2010-07,186,11,27,14.52
2010-08,163,0,163,100.0
2010-08,163,1,32,19.63
2010-08,163,2,47,28.83
2010-08,163,3,53,32.52
2010-08,163,4,27,16.56
2010-08,163,5,19,11.66
2010-08,163,6,16,9.82
2010-08,163,7,21,12.88
2010-08,163,8,22,13.5
2010-08,163,9,21,12.88
2010-08,163,10,21,12.88
2010-08,163,11,19,11.66
2010-09,239,0,239,100.0
2010-09,239,1,55,23.01
2010-09,239,2,56,23.43
2010-09,239,3,31,12.97
2010-09,239,4,21,8.79
2010-09,239,5,25,10.46
2010-09,239,6,33,13.81
2010-09,239,7,23,9.62
2010-09,239,8,31,12.97
2010-09,239,9,31,12.97
2010-09,239,10,29,12.13
2010-09,239,11,24,10.04
2010-10,375,0,375,100.0
2010-10,375,1,97,25.87
2010-10,375,2,55,14.67
2010-10,375,3,47,12.53
2010-10,375,4,33,8.8
2010-10,375,5,31,8.27
2010-10,375,6,49,13.07
2010-10,375,7,52,13.87
2010-10,375,8,40,10.67
2010-10,375,9,35,9.33
2010-10,375,10,40,10.67
2010-10,375,11,48,12.8
2010-11,326,0,326,100.0
2010-11,326,1,57,17.48
2010-11,326,2,31,9.51
2010-11,326,3,31,9.51
2010-11,326,4,25,7.67
2010-11,326,5,29,8.9
2010-11,326,6,42,12.88
2010-11,326,7,33,10.12
2010-11,326,8,28,8.59
2010-11,326,9,30,9.2
2010-11,326,10,36,11.04
2010-11,326,11,48,14.72
2010-12,76,0,76,100.0
2010-12,76,1,7,9.21
2010-12,76,2,4,5.26
2010-12,76,3,7,9.21
2010-12,76,4,9,11.84
2010-12,76,5,5,6.58
2010-12,76,6,4,5.26
2010-12,76,7,7,9.21
2010-12,76,8,4,5.26
2010-12,76,9,2,2.63
2010-12,76,10,7,9.21
2010-12,76,11,15,19.74
2011-01,72,0,72,100.0
2011-01,72,1,12,16.67
2011-01,72,2,16,22.22
2011-01,72,3,14,19.44
2011-01,72,4,16,22.22
2011-01,72,5,11,15.28
2011-01,72,6,11,15.28
2011-01,72,7,9,12.5
2011-01,72,8,8,11.11
2011-01,72,9,15,20.83
2011-01,72,10,18,25.0
2011-01,72,11,8,11.11
2011-02,125,0,125,100.0
2011-02,125,1,20,16.0
2011-02,125,2,20,16.0
2011-02,125,3,23,18.4
2011-02,125,4,27,21.6
2011-02,125,5,20,16.0
2011-02,125,6,20,16.0
2011-02,125,7,19,15.2
2011-02,125,8,19,15.2
2011-02,125,9,23,18.4
2011-02,125,10,8,6.4
2011-03,179,0,179,100.0
2011-03,179,1,32,17.88
2011-03,179,2,39,21.79
2011-03,179,3,36,20.11
2011-03,179,4,40,22.35
2011-03,179,5,27,15.08
2011-03,179,6,37,20.67
2011-03,179,7,36,20.11
2011-03,179,8,43,24.02
2011-03,179,9,17,9.5
2011-04,106,0,106,100.0
2011-04,106,1,26,24.53
2011-04,106,2,21,19.81
2011-04,106,3,21,19.81
2011-04,106,4,19,17.92
2011-04,106,5,25,23.58
2011-04,106,6,19,17.92
2011-04,106,7,27,25.47
2011-04,106,8,12,11.32
2011-05,111,0,111,100.0
2011-05,111,1,26,23.42
2011-05,111,2,27,24.32
2011-05,111,3,18,16.22
2011-05,111,4,24,21.62
2011-05,111,5,23,20.72
2011-05,111,6,29,26.13
2011-05,111,7,13,11.71
2011-06,108,0,108,100.0
2011-06,108,1,25,23.15
2011-06,108,2,23,21.3
2011-06,108,3,29,26.85
2011-06,108,4,22,20.37
2011-06,108,5,30,27.78
2011-06,108,6,9,8.33
2011-07,101,0,101,100.0
2011-07,101,1,21,20.79
2011-07,101,2,30,29.7
2011-07,101,3,28,27.72
2011-07,101,4,35,34.65
2011-07,101,5,16,15.84
2011-08,107,0,107,100.0
2011-08,107,1,28,26.17
2011-08,107,2,32,29.91
2011-08,107,3,28,26.17
2011-08,107,4,18,16.82
2011-09,188,0,188,100.0
2011-09,188,1,51,27.13
2011-09,188,2,71,37.77
2011-09,188,3,28,14.89
2011-10,221,0,221,100.0
2011-10,221,1,70,31.67
2011-10,221,2,35,15.84
2011-11,191,0,191,100.0
2011-11,191,1,27,14.14
2011-12,28,0,28,100.0
