cohort_month,M00,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11
2009-12,100.0,35.02,33.33,42.48,37.85,35.96,37.64,34.38,33.75,36.17,42.17,49.63
2010-01,100.0,21.47,32.07,31.52,27.17,31.25,26.9,23.37,28.53,32.61,30.98,17.93
2010-02,100.0,23.47,22.67,29.33,24.53,19.73,19.2,28.8,25.6,27.73,11.47,12.53
2010-03,100.0,19.05,23.13,24.26,23.13,20.41,24.72,30.61,27.66,10.88,11.56,14.51
2010-04,100.0,19.05,19.05,15.99,18.37,22.11,27.55,26.53,10.54,10.88,7.48,13.95
2010-05,100.0,15.69,16.86,17.65,17.65,25.49,21.18,12.55,5.88,8.24,11.37,13.33
2010-06,100.0,17.6,18.73,20.6,23.22,28.46,12.73,8.99,8.24,11.24,10.49,13.86
2010-07,100.0,15.59,18.28,29.57,29.03,13.98,11.29,14.52,14.52,11.29,13.44,14.52
2010-08,100.0,19.63,28.83,32.52,16.56,11.66,9.82,12.88,13.5,12.88,12.88,11.66
2010-09,100.0,23.01,23.43,12.97,8.79,10.46,13.81,9.62,12.97,12.97,12.13,10.04
2010-10,100.0,25.87,14.67,12.53,8.8,8.27,13.07,13.87,10.67,9.33,10.67,12.8
2010-11,100.0,17.48,9.51,9.51,7.67,8.9,12.88,10.12,8.59,9.2,11.04,14.72
2010-12,100.0,9.21,5.26,9.21,11.84,6.58,5.26,9.21,5.26,2.63,9.21,19.74
2011-01,100.0,16.67,22.22,19.44,22.22,15.28,15.28,12.5,11.11,20.83,25.0,11.11
2011-02,100.0,16.0,16.0,18.4,21.6,16.0,16.0,15.2,15.2,18.4,6.4,
2011-03,100.0,17.88,21.79,20.11,22.35,15.08,20.67,20.11,24.02,9.5,,
2011-04,100.0,24.53,19.81,19.81,17.92,23.58,17.92,25.47,11.32,,,
2011-05,100.0,23.42,24.32,16.22,21.62,20.72,26.13,11.71,,,,
2011-06,100.0,23.15,21.3,26.85,20.37,27.78,8.33,,,,,
2011-07,100.0,20.79,29.7,27.72,34.65,15.84,,,,,,
2011-08,100.0,26.17,29.91,26.17,16.82,,,,,,,
2011-09,100.0,27.13,37.77,14.89,,,,,,,,
2011-10,100.0,31.67,15.84,,,,,,,,,
2011-11,100.0,14.14,,,,,,,,,,
2011-12,100.0,,,,,,,,,,,
