customer_id,total_orders,total_spend,aov,first_order,last_order,active_days
18102,145,608821.65,4198.77,2009-12-01,2011-12-09,738
14646,145,526751.52,3632.77,2009-12-02,2011-12-08,736
14156,145,305228.63,2105.03,2009-12-01,2011-11-30,729
14911,375,284029.61,757.41,2009-12-01,2011-12-08,737
17450,51,246973.09,4842.61,2010-09-27,2011-12-01,430
13694,143,196482.81,1374.01,2009-12-04,2011-12-06,732
17511,60,175603.55,2926.73,2009-12-02,2011-12-07,735
16446,2,168472.5,84236.25,2011-05-18,2011-12-09,205
16684,55,147142.77,2675.32,2009-12-07,2011-12-05,728
12415,24,144033.37,6001.39,2010-06-30,2011-11-15,503
15061,127,137817.07,1085.17,2009-12-01,2011-12-06,735
13089,203,116737.86,575.06,2009-12-02,2011-12-07,735
15311,207,116476.16,562.69,2009-12-01,2011-12-09,738
16029,106,114066.39,1076.1,2009-12-08,2011-11-01,693
17949,116,109147.48,940.93,2009-12-02,2011-12-08,736
12931,57,92347.34,1620.13,2009-12-01,2011-11-18,717
14298,82,91194.49,1112.13,2009-12-11,2011-12-01,720
15769,46,88704.32,1928.35,2009-12-11,2011-12-02,721
12346,3,77352.96,25784.32,2010-03-02,2011-01-18,322
13798,110,75836.87,689.43,2009-12-08,2011-12-08,730
15838,34,74163.0,2181.26,2009-12-15,2011-11-28,713
17841,211,70858.77,335.82,2009-12-02,2011-12-08,736
16754,29,67502.47,2327.67,2010-03-08,2010-12-02,269
14088,16,64036.8,4002.3,2010-10-14,2011-11-29,411
16422,108,63459.47,587.59,2010-01-12,2011-11-22,679
13081,28,59205.15,2114.47,2009-12-08,2011-11-28,720
16013,84,57446.44,683.89,2009-12-08,2011-12-06,728
14680,58,57412.77,989.88,2009-12-04,2011-11-14,710
17389,61,57224.68,938.11,2009-12-04,2011-12-09,735
17850,155,56600.08,365.16,2009-12-05,2010-12-02,362
13777,61,56478.42,925.88,2009-12-02,2011-12-09,737
13093,55,54943.65,998.98,2009-12-04,2011-03-09,460
14096,17,53258.43,3132.85,2011-08-30,2011-12-05,97
12748,322,52194.26,162.09,2009-12-04,2011-12-09,735
13408,106,51733.46,488.05,2009-12-04,2011-12-08,734
17404,21,47638.12,2268.48,2010-01-07,2011-12-05,697
13881,43,45179.1,1050.68,2010-03-04,2011-12-06,642
15749,3,44534.3,14844.77,2011-01-11,2011-04-18,97
16705,42,43515.05,1036.07,2009-12-09,2011-12-09,730
14031,44,40999.17,931.8,2009-12-03,2011-12-02,729
15039,93,40031.43,430.45,2009-12-10,2011-11-30,720
17381,38,40002.37,1052.69,2010-06-09,2011-12-01,540
15098,3,39916.5,13305.5,2011-06-10,2011-06-10,0
16210,33,38469.51,1165.74,2009-12-02,2011-12-08,736
17675,70,38259.6,546.57,2009-12-10,2011-12-08,728
17677,54,36692.91,679.5,2009-12-16,2011-12-08,722
12921,74,35921.04,485.42,2009-12-01,2011-11-30,729
13767,73,35540.53,486.86,2009-12-01,2011-12-07,736
12471,71,35145.5,495.01,2009-12-07,2011-12-07,730
15856,52,34219.08,658.06,2009-12-03,2011-12-05,732
13902,5,34023.26,6804.65,2009-12-15,2010-03-17,92
16779,53,33268.24,627.7,2009-12-03,2011-12-07,734
12678,17,32855.18,1932.66,2010-01-07,2011-10-28,659
14258,25,32051.34,1282.05,2009-12-04,2011-11-30,726
17428,45,31819.76,707.11,2009-12-01,2011-12-09,738
14606,184,30558.44,166.08,2009-12-03,2011-12-08,735
12709,32,30162.76,942.59,2009-12-09,2011-11-24,715
13078,57,29532.45,518.11,2009-12-01,2011-12-06,735
13098,28,28882.44,1031.52,2011-01-26,2011-12-08,316
17940,14,28475.98,2034.0,2009-12-03,2011-10-21,687
12681,44,27898.28,634.05,2009-12-13,2011-11-25,712
15513,35,27750.55,792.87,2010-01-13,2011-11-06,662
14527,121,27736.52,229.23,2009-12-02,2011-12-07,735
17857,23,27104.74,1178.47,2010-03-08,2011-12-05,637
16333,22,26626.8,1210.31,2011-02-03,2011-12-02,302
17865,46,26372.29,573.31,2009-12-01,2011-11-09,708
18251,9,26278.86,2919.87,2009-12-22,2011-09-13,630
13802,19,26259.11,1382.06,2010-02-16,2011-07-24,523
15498,44,26039.58,591.81,2009-12-16,2011-12-07,721
12731,17,25631.71,1507.75,2010-03-02,2011-11-16,624
14062,24,25604.2,1066.84,2009-12-10,2011-11-30,720
12939,20,25264.8,1263.24,2010-01-12,2011-10-06,632
14895,38,25119.54,661.04,2009-12-10,2011-12-02,722
16525,48,24582.64,512.14,2009-12-02,2011-12-07,735
17920,54,24492.66,453.57,2009-12-06,2011-12-05,729
13001,33,24172.1,732.49,2009-12-03,2011-12-05,732
15640,29,23922.78,824.92,2009-12-14,2011-12-05,721
12409,7,23419.29,3345.61,2010-05-23,2011-09-22,487
16133,56,22992.26,410.58,2010-03-31,2011-12-06,615
14607,20,22589.63,1129.48,2009-12-15,2011-11-24,709
12621,35,22525.81,643.59,2010-02-09,2011-12-08,667
14051,37,22434.0,606.32,2009-12-03,2011-12-09,736
17340,18,22404.82,1244.71,2010-02-14,2011-11-10,634
16839,44,22310.49,507.06,2010-02-11,2011-12-01,658
15159,34,22116.73,650.49,2010-10-04,2011-12-08,430
13340,12,22100.56,1841.71,2010-02-22,2011-10-25,610
13319,58,22082.5,380.73,2009-12-06,2011-12-04,728
12482,27,21941.72,812.66,2010-02-24,2010-05-12,77
14667,54,21891.39,405.4,2009-12-02,2011-11-29,727
12682,51,21693.91,425.37,2009-12-01,2011-12-06,735
