month,revenue,orders,customers,aov,prev_revenue,mom_growth_pct
2009-12,681416.22,1497,951,455.19,,
2010-01,535379.37,959,701,558.27,681416.22,-21.4
2010-02,499949.68,1093,771,457.41,535379.37,-6.6
2010-03,668977.19,1509,1051,443.32,499949.68,33.8
2010-04,588103.77,1315,939,447.23,668977.19,-12.1
2010-05,595086.54,1365,965,435.96,588103.77,1.2
2010-06,632685.9,1482,1035,426.91,595086.54,6.3
2010-07,584048.53,1364,925,428.19,632685.9,-7.7
2010-08,597129.22,1276,910,467.97,584048.53,2.2
2010-09,808545.06,1659,1136,487.37,597129.22,35.4
2010-10,1015989.49,2108,1492,481.97,808545.06,25.7
2010-11,1163154.41,2571,1606,452.41,1015989.49,14.5
2010-12,877814.47,1395,884,629.26,1163154.41,-24.5
2011-01,564226.64,983,739,573.98,877814.47,-35.7
2011-02,443546.02,992,757,447.12,564226.64,-21.4
2011-03,585262.85,1312,973,446.08,443546.02,32.0
2011-04,455666.91,1139,853,400.06,585262.85,-22.1
2011-05,660917.9,1544,1054,428.06,455666.91,45.0
2011-06,654932.56,1390,990,471.17,660917.9,-0.9
2011-07,593231.9,1321,946,449.08,654932.56,-9.4
2011-08,637157.24,1268,933,502.49,593231.9,7.4
2011-09,941800.81,1740,1259,541.26,637157.24,47.8
2011-10,1006342.9,1903,1361,528.82,941800.81,6.9
2011-11,1143245.77,2642,1660,432.72,1006342.9,13.6
2011-12,513380.43,776,614,661.57,1143245.77,-55.1
