month,customer_type,customers,orders
2009-12,New,951,1036
2009-12,Returning,241,461
2010-01,New,368,383
2010-01,Returning,367,576
2010-02,New,375,416
2010-02,Returning,410,677
2010-03,New,441,471
2010-03,Returning,640,1038
2010-04,New,294,301
2010-04,Returning,664,1014
2010-05,New,255,269
2010-05,Returning,723,1096
2010-06,New,267,283
2010-06,Returning,787,1199
2010-07,New,186,200
2010-07,Returning,763,1164
2010-08,New,163,174
2010-08,Returning,761,1102
2010-09,New,239,250
2010-09,Returning,913,1409
2010-10,New,375,389
2010-10,Returning,1152,1719
2010-11,New,326,350
2010-11,Returning,1322,2221
2010-12,New,76,76
2010-12,Returning,811,1319
2011-01,New,72,73
2011-01,Returning,672,910
2011-02,New,125,127
2011-02,Returning,640,865
2011-03,New,179,186
2011-03,Returning,808,1126
2011-04,New,106,108
2011-04,Returning,755,1031
2011-05,New,111,116
2011-05,Returning,951,1428
2011-06,New,108,112
2011-06,Returning,894,1278
2011-07,New,101,107
2011-07,Returning,855,1214
2011-08,New,107,109
2011-08,Returning,831,1159
2011-09,New,188,192
2011-09,Returning,1090,1548
2011-10,New,221,233
2011-10,Returning,1162,1670
2011-11,New,191,203
2011-11,Returning,1494,2439
2011-12,New,28,30
2011-12,Returning,586,746
