segment,customers,avg_recency_days,avg_orders,avg_spend,total_revenue,avg_r,avg_f,avg_m
Champions,1340,19.0,16.5,8980.0,12032651.0,4.6,4.7,4.6
Loyal Customers,649,87.0,7.9,2866.0,1860340.0,3.3,4.3,3.9
At Risk,818,365.0,5.0,2114.0,1728994.0,1.7,3.5,3.4
Others,661,54.0,2.6,1015.0,671151.0,3.9,2.5,2.4
Needs Attention,200,107.0,3.0,1490.0,298030.0,3.0,3.0,3.4
About to Sleep,621,315.0,1.3,376.0,233228.0,2.0,1.5,1.7
Hibernating,814,557.0,1.2,251.0,204327.0,1.0,1.3,1.4
Potential Loyalists,438,27.0,1.5,397.0,173951.0,4.3,1.6,1.8
Promising,223,107.0,1.6,611.0,136304.0,3.0,2.0,2.3
Lost,89,521.0,1.4,1225.0,109015.0,1.0,2.0,3.2
