product_id,name,category,subcategory,units_sold,revenue,return_rate_pct,margin_pct
22423,REGENCY CAKESTAND 3 TIER,Gift & Novelty,General Gifts,24899,286486.3,4.96,39.07
85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home & Decor,Lighting,93697,252227.81,4.8,39.82
85099B,JUMBO BAG RED WHITE SPOTTY ,Fashion,Bags,94983,170616.68,5.18,40.43
23843,"PAPER CRAFT , LITTLE BIRDIE",Garden,Outdoor,80995,168469.6,0.0,45.19
84879,ASSORTED COLOUR BIRD ORNAMENT,Garden,Outdoor,79913,127074.17,4.61,41.52
47566,PARTY BUNTING,Celebrations,Party Supplies,23607,103880.23,4.76,38.19
23166,MEDIUM CERAMIC TOP STORAGE JAR,Kitchen,Drinkware,77916,81416.73,5.05,33.97
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,Seasonal,Christmas,29477,79594.33,5.02,40.0
79321,CHILLI LIGHTS,Home & Decor,Lighting,15735,72860.14,4.38,41.26
22386,JUMBO BAG PINK WITH WHITE SPOTS,Fashion,Bags,37711,68439.19,4.65,41.04
21137,BLACK RECORD COVER FRAME,Home & Decor,Wall Art,19629,67209.44,4.68,39.84
48138,DOOR MAT UNION FLAG,Gift & Novelty,General Gifts,9974,64973.98,5.24,36.75
85099F,JUMBO BAG STRAWBERRY,Fashion,Bags,36098,64601.65,4.95,40.21
20685,RED SPOTTY COIR DOORMAT,Gift & Novelty,General Gifts,9545,61829.13,5.28,36.4
82484,WOOD BLACK BOARD ANT WHITE FINISH,Gift & Novelty,General Gifts,10893,60513.09,4.93,36.1
20725,LUNCH BAG RED SPOTTY,Fashion,Bags,38314,60271.7,5.9,42.15
21843,RETRO SPOT CAKE STAND,Home & Decor,Vintage Signs,5891,59648.09,5.0,40.54
22197,"POPCORN HOLDER , SMALL ",Gift & Novelty,General Gifts,77971,59101.69,5.24,37.99
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,Home & Decor,Lighting,29498,57779.17,5.26,28.53
22502,PICNIC BASKET WICKER SMALL,Home & Decor,Storage,3128,55017.6,4.87,81.41
21621,VINTAGE UNION JACK BUNTING,Home & Decor,Storage,6542,54815.12,4.23,44.15
15056N,EDWARDIAN PARASOL NATURAL,Gift & Novelty,General Gifts,11027,54741.46,4.55,34.13
85099C,JUMBO  BAG BAROQUE BLACK WHITE,Fashion,Bags,29447,53168.34,4.76,40.74
22189,CREAM HEART CARD HOLDER,Stationery,Cards & Notes,18113,52627.29,5.78,25.31
22470,HEART OF WICKER LARGE,Home & Decor,Wall Art,17866,52157.68,4.61,44.51
21623,VINTAGE UNION JACK MEMOBOARD,Home & Decor,Vintage Signs,7158,51465.62,6.36,23.92
23084,RABBIT NIGHT LIGHT,Home & Decor,Lighting,27202,51346.2,5.7,39.61
20914,SET/5 RED SPOTTY LID GLASS BOWLS,Kitchen,Drinkware,18524,50983.88,5.4,41.14
21733,RED HANGING HEART T-LIGHT HOLDER,Home & Decor,Lighting,17643,50010.85,5.5,42.85
21181,PLEASE ONE PERSON  METAL SIGN,Home & Decor,Vintage Signs,24513,48564.0,5.5,41.45
21931,JUMBO STORAGE BAG SUKI,Fashion,Bags,26239,48255.8,4.65,41.82
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,Home & Decor,Vintage Signs,10107,47787.6,5.55,42.47
22112,CHOCOLATE HOT WATER BOTTLE,Kitchen,Drinkware,10326,47555.84,4.55,40.94
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,Seasonal,Christmas,17294,47240.02,4.14,40.69
15056BL,EDWARDIAN PARASOL BLACK,Gift & Novelty,General Gifts,9488,46676.22,4.77,33.53
22178,VICTORIAN GLASS HANGING T-LIGHT,Home & Decor,Lighting,37851,46440.91,4.26,43.76
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,Fashion,Bags,24690,45784.63,4.41,42.3
48194,DOORMAT HEARTS,Home & Decor,Wall Art,7556,45590.18,3.95,31.72
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,Home & Decor,Lighting,15489,45034.37,4.11,38.44
22469,HEART OF WICKER SMALL,Home & Decor,Wall Art,27182,45020.95,5.74,45.06
48187,DOOR MAT NEW ENGLAND,Gift & Novelty,General Gifts,7205,44764.75,5.1,33.69
22111,SCOTTIE DOG HOT WATER BOTTLE,Kitchen,Drinkware,9487,44368.05,6.58,41.84
21212,PACK OF 72 RETRO SPOT CAKE CASES,Home & Decor,Vintage Signs,91263,44067.34,5.28,37.87
21929,JUMBO BAG PINK VINTAGE PAISLEY,Fashion,Bags,24431,43883.88,5.65,40.43
21754,HOME BUILDING BLOCK WORD,Gift & Novelty,General Gifts,7468,43837.76,5.6,44.29
22138,BAKING SET 9 PIECE RETROSPOT ,Home & Decor,Vintage Signs,9052,43155.06,5.72,42.95
21731,RED TOADSTOOL LED NIGHT LIGHT,Home & Decor,Lighting,27867,42913.71,6.19,40.91
21175,GIN + TONIC DIET METAL SIGN,Home & Decor,Vintage Signs,20432,42491.84,5.32,44.22
21928,JUMBO BAG SCANDINAVIAN PAISLEY,Fashion,Bags,23618,42340.92,4.88,40.31
21232,STRAWBERRY CERAMIC TRINKET BOX,Home & Decor,Storage,35764,41989.92,5.55,41.23
