order_id,customer_id,order_date,status,channel,payment_method,shipping_region,discount_pct
489434,13085,2009-12-01,Delivered,Website,Credit Card,Europe,0.15
489435,13085,2009-12-01,Delivered,Social Media,PayPal,Europe,0.0
489436,13078,2009-12-01,Delivered,Email Campaign,PayPal,Europe,0.0
489437,15362,2009-12-01,Delivered,Mobile App,PayPal,Europe,0.1
489438,18102,2009-12-01,Delivered,Website,Credit Card,Europe,0.15
489439,12682,2009-12-01,Delivered,Website,Debit Card,Europe,0.0
489440,18087,2009-12-01,Delivered,Website,Bank Transfer,Europe,0.0
489441,18087,2009-12-01,Delivered,Email Campaign,Credit Card,Europe,0.1
489442,13635,2009-12-01,Delivered,Mobile App,Credit Card,Europe,0.0
489443,14110,2009-12-01,Delivered,Mobile App,PayPal,Europe,0.0
489445,17519,2009-12-01,Delivered,Website,Credit Card,Europe,0.0
489446,13758,2009-12-01,Delivered,Referral,PayPal,Europe,0.0
489448,15413,2009-12-01,Delivered,Email Campaign,Debit Card,Europe,0.1
489450,16321,2009-12-01,Delivered,Website,Gift Card,Asia-Pacific,0.0
489460,16167,2009-12-01,Delivered,Website,Bank Transfer,Europe,0.1
489461,17865,2009-12-01,Delivered,Website,PayPal,Europe,0.0
489462,17592,2009-12-01,Delivered,Website,Credit Card,Europe,0.15
489465,13767,2009-12-01,Delivered,Mobile App,Credit Card,Europe,0.05
489488,17238,2009-12-01,Delivered,Website,Bank Transfer,Europe,0.0
489505,15712,2009-12-01,Delivered,Website,Debit Card,Europe,0.0
489514,15311,2009-12-01,Delivered,Mobile App,PayPal,Europe,0.0
489517,16329,2009-12-01,Delivered,Website,Debit Card,Europe,0.0
489519,17700,2009-12-01,Delivered,Website,Credit Card,Europe,0.0
489520,14911,2009-12-01,Delivered,Website,Credit Card,Europe,0.05
489522,15998,2009-12-01,Delivered,Mobile App,Credit Card,Europe,0.1
489523,12931,2009-12-01,Delivered,Email Campaign,PayPal,Europe,0.0
489526,12533,2009-12-01,Delivered,Website,PayPal,Europe,0.0
489529,17984,2009-12-01,Delivered,Mobile App,Credit Card,Europe,0.15
489531,14871,2009-12-01,Delivered,Mobile App,Debit Card,Europe,0.1
489532,13394,2009-12-01,Delivered,Website,Bank Transfer,Europe,0.0
489533,16011,2009-12-01,Delivered,Mobile App,PayPal,Europe,0.0
489536,16393,2009-12-01,Delivered,Website,Debit Card,Europe,0.0
489537,14040,2009-12-01,Delivered,Website,Credit Card,Europe,0.0
489539,15061,2009-12-01,Delivered,Social Media,Bank Transfer,Europe,0.15
489540,12913,2009-12-01,Delivered,Referral,Debit Card,Europe,0.05
489542,15061,2009-12-01,Delivered,Email Campaign,Bank Transfer,Europe,0.1
489544,14341,2009-12-01,Delivered,Website,PayPal,Europe,0.1
489545,17804,2009-12-01,Delivered,Website,PayPal,Europe,0.0
489546,14156,2009-12-01,Delivered,Mobile App,Gift Card,Europe,0.0
489547,13599,2009-12-01,Delivered,Website,PayPal,Europe,0.2
489550,14156,2009-12-01,Delivered,Website,Credit Card,Europe,0.0
489552,17063,2009-12-01,Delivered,Mobile App,Credit Card,Europe,0.0
489556,15719,2009-12-01,Delivered,Website,Credit Card,Europe,0.0
489557,12490,2009-12-01,Delivered,Social Media,Credit Card,Europe,0.0
489558,15793,2009-12-01,Delivered,Website,Credit Card,Europe,0.0
489559,17056,2009-12-01,Delivered,Mobile App,Debit Card,Europe,0.0
489560,13526,2009-12-01,Delivered,Website,Credit Card,Europe,0.0
489561,14654,2009-12-01,Delivered,Mobile App,Debit Card,Europe,0.0
489562,17998,2009-12-01,Delivered,Mobile App,Bank Transfer,Europe,0.0
489564,13526,2009-12-01,Delivered,Website,PayPal,Europe,0.0
489566,17742,2009-12-01,Delivered,Referral,Bank Transfer,Europe,0.0
489567,15326,2009-12-01,Delivered,Email Campaign,Credit Card,Europe,0.05
489569,14478,2009-12-01,Delivered,Social Media,Debit Card,Europe,0.15
489571,15967,2009-12-01,Delivered,Social Media,Credit Card,Europe,0.1
489572,17611,2009-12-01,Delivered,Mobile App,Debit Card,Europe,0.1
489573,15051,2009-12-01,Delivered,Social Media,Debit Card,Europe,0.1
489574,13097,2009-12-01,Delivered,Website,Credit Card,Europe,0.2
489575,13590,2009-12-01,Delivered,Website,Credit Card,Europe,0.2
489576,15984,2009-12-01,Delivered,Website,PayPal,Europe,0.1
489579,16887,2009-12-01,Delivered,Website,PayPal,Europe,0.05
489580,12921,2009-12-01,Delivered,Website,Debit Card,Europe,0.0
489581,15945,2009-12-01,Delivered,Website,Credit Card,Europe,0.0
489582,14543,2009-12-01,Delivered,Email Campaign,Debit Card,Europe,0.0
489584,18037,2009-12-01,Delivered,Website,Credit Card,Europe,0.1
489585,15662,2009-12-01,Delivered,Website,Gift Card,Europe,0.0
489586,15380,2009-12-01,Delivered,Mobile App,Bank Transfer,Europe,0.1
489590,13110,2009-12-01,Delivered,Website,Credit Card,Europe,0.0
489593,12836,2009-12-01,Delivered,Email Campaign,Credit Card,Europe,0.0
489594,15005,2009-12-01,Delivered,Website,Debit Card,Europe,0.0
489598,16620,2009-12-01,Delivered,Referral,Credit Card,Europe,0.05
489599,12758,2009-12-01,Delivered,Email Campaign,Bank Transfer,Europe,0.0
489606,17961,2009-12-01,Delivered,Website,PayPal,Europe,0.0
489611,15601,2009-12-01,Delivered,Website,Credit Card,Europe,0.1
489613,13585,2009-12-01,Delivered,Email Campaign,Credit Card,Europe,0.15
489617,13442,2009-12-01,Delivered,Mobile App,PayPal,Europe,0.05
489634,13381,2009-12-01,Delivered,Mobile App,Debit Card,Europe,0.0
489635,16763,2009-12-01,Delivered,Email Campaign,PayPal,Europe,0.1
489637,17243,2009-12-01,Delivered,Website,Credit Card,Europe,0.1
489639,14865,2009-12-01,Delivered,Website,Credit Card,Europe,0.0
489640,17345,2009-12-01,Delivered,Website,PayPal,Europe,0.0
489641,13819,2009-12-01,Delivered,Email Campaign,Debit Card,Europe,0.15
489644,15808,2009-12-01,Delivered,Mobile App,Credit Card,Europe,0.2
489645,17191,2009-12-01,Delivered,Website,Credit Card,Europe,0.0
489650,13748,2009-12-01,Delivered,Website,Debit Card,Europe,0.05
489652,15265,2009-12-01,Delivered,Website,PayPal,Europe,0.0
489654,15750,2009-12-01,Delivered,Website,Credit Card,Europe,0.05
489656,17428,2009-12-01,Delivered,Mobile App,PayPal,Europe,0.0
489657,17428,2009-12-01,Delivered,Mobile App,Credit Card,Europe,0.0
489658,15485,2009-12-01,Delivered,Social Media,Credit Card,Europe,0.0
489661,17246,2009-12-01,Delivered,Mobile App,PayPal,Europe,0.05
489662,15485,2009-12-01,Delivered,Website,PayPal,Europe,0.0
489664,14061,2009-12-01,Delivered,Mobile App,Credit Card,Europe,0.0
489665,14108,2009-12-01,Delivered,Email Campaign,Credit Card,Europe,0.05
489666,13648,2009-12-01,Delivered,Mobile App,Credit Card,Europe,0.1
489667,16563,2009-12-01,Delivered,Email Campaign,PayPal,Europe,0.1
489668,16701,2009-12-01,Delivered,Mobile App,Credit Card,Europe,0.0
489669,12842,2009-12-02,Delivered,Mobile App,Credit Card,Europe,0.05
489670,14302,2009-12-02,Delivered,Website,Credit Card,Europe,0.15
489671,14135,2009-12-02,Delivered,Website,Debit Card,Europe,0.15
489672,14831,2009-12-02,Delivered,Website,PayPal,Europe,0.0
489673,14831,2009-12-02,Delivered,Website,Credit Card,Europe,0.0
489674,15602,2009-12-02,Delivered,Mobile App,Debit Card,Europe,0.15
489675,13777,2009-12-02,Delivered,Website,Credit Card,Europe,0.0
489676,13777,2009-12-02,Delivered,Mobile App,Debit Card,Europe,0.1
489677,14000,2009-12-02,Delivered,Social Media,Credit Card,Europe,0.15
489678,16823,2009-12-02,Delivered,Website,Credit Card,Europe,0.1
489679,16163,2009-12-02,Delivered,Website,Credit Card,Europe,0.05
489680,17193,2009-12-02,Delivered,Email Campaign,PayPal,Europe,0.0
489681,17998,2009-12-02,Delivered,Website,PayPal,Europe,0.0
489682,15759,2009-12-02,Delivered,Website,Debit Card,Europe,0.05
489683,16131,2009-12-02,Delivered,Website,Credit Card,Europe,0.1
489684,14560,2009-12-02,Delivered,Website,Credit Card,Europe,0.0
489687,17087,2009-12-02,Delivered,Social Media,Debit Card,Europe,0.0
489688,14894,2009-12-02,Delivered,Email Campaign,Bank Transfer,Europe,0.0
489695,16202,2009-12-02,Delivered,Mobile App,Gift Card,Europe,0.05
489699,16700,2009-12-02,Delivered,Social Media,PayPal,Europe,0.0
489702,17511,2009-12-02,Delivered,Email Campaign,Credit Card,Europe,0.0
489705,16700,2009-12-02,Delivered,Website,PayPal,Europe,0.0
489723,14299,2009-12-02,Delivered,Social Media,Credit Card,Europe,0.1
489725,17949,2009-12-02,Delivered,Mobile App,Debit Card,Europe,0.0
489726,17949,2009-12-02,Delivered,Email Campaign,Credit Card,Europe,0.0
489727,17949,2009-12-02,Delivered,Social Media,Credit Card,Europe,0.0
489728,14799,2009-12-02,Delivered,Website,Credit Card,Europe,0.1
489733,15311,2009-12-02,Delivered,Website,Debit Card,Europe,0.0
489743,16550,2009-12-02,Delivered,Website,Debit Card,Europe,0.0
489748,12980,2009-12-02,Delivered,Website,PayPal,Europe,0.0
489764,14425,2009-12-02,Delivered,Email Campaign,PayPal,Europe,0.0
489765,15353,2009-12-02,Delivered,Email Campaign,Gift Card,Europe,0.05
489766,17818,2009-12-02,Delivered,Website,Credit Card,Europe,0.0
489780,13654,2009-12-02,Delivered,Mobile App,Debit Card,Europe,0.15
489782,17189,2009-12-02,Delivered,Website,Debit Card,Europe,0.1
489783,13269,2009-12-02,Delivered,Website,PayPal,Europe,0.1
489784,13269,2009-12-02,Delivered,Website,Credit Card,Europe,0.0
489785,14653,2009-12-02,Delivered,Website,Credit Card,Europe,0.0
489786,17019,2009-12-02,Delivered,Social Media,Credit Card,Europe,0.05
489787,15542,2009-12-02,Delivered,Website,Gift Card,Europe,0.0
489788,13564,2009-12-02,Delivered,Mobile App,Bank Transfer,Europe,0.0
489789,15833,2009-12-02,Delivered,Mobile App,Debit Card,Europe,0.0
489790,16467,2009-12-02,Delivered,Website,Bank Transfer,Europe,0.0
489791,15542,2009-12-02,Delivered,Referral,Credit Card,Europe,0.0
489792,14527,2009-12-02,Delivered,Referral,Credit Card,Europe,0.0
489793,17476,2009-12-02,Delivered,Website,PayPal,Europe,0.0
489794,15287,2009-12-02,Delivered,Mobile App,Credit Card,Europe,0.15
489795,14440,2009-12-02,Delivered,Website,Credit Card,Europe,0.1
489796,15680,2009-12-02,Delivered,Website,Bank Transfer,Europe,0.0
489797,15581,2009-12-02,Delivered,Website,Debit Card,Europe,0.1
489798,13740,2009-12-02,Delivered,Mobile App,Gift Card,Europe,0.2
489800,17768,2009-12-02,Delivered,Mobile App,Credit Card,Europe,0.05
489801,12948,2009-12-02,Delivered,Website,Credit Card,Europe,0.1
489802,15581,2009-12-02,Delivered,Website,Credit Card,Europe,0.0
489804,14667,2009-12-02,Delivered,Social Media,Bank Transfer,Europe,0.2
489805,17377,2009-12-02,Delivered,Website,Credit Card,Europe,0.0
489807,15581,2009-12-02,Delivered,Website,Credit Card,Europe,0.1
489808,14467,2009-12-02,Delivered,Mobile App,Credit Card,Europe,0.0
489809,13457,2009-12-02,Delivered,Referral,PayPal,Europe,0.0
489810,18108,2009-12-02,Delivered,Website,Credit Card,Europe,0.0
489811,16210,2009-12-02,Delivered,Mobile App,Credit Card,Europe,0.0
489812,17377,2009-12-02,Delivered,Email Campaign,Debit Card,Europe,0.1
489814,14669,2009-12-02,Delivered,Website,Debit Card,Europe,0.15
489815,17909,2009-12-02,Delivered,Mobile App,Credit Card,Europe,0.0
489816,16086,2009-12-02,Delivered,Website,Credit Card,Europe,0.05
489817,16711,2009-12-02,Delivered,Mobile App,Bank Transfer,Europe,0.1
489818,16233,2009-12-02,Delivered,Mobile App,Credit Card,Europe,0.0
489819,14739,2009-12-02,Delivered,Mobile App,Credit Card,Europe,0.2
489822,14204,2009-12-02,Delivered,Website,Credit Card,Europe,0.0
489823,17606,2009-12-02,Delivered,Email Campaign,Gift Card,Europe,0.15
489824,16797,2009-12-02,Delivered,Website,Credit Card,Europe,0.2
489825,16126,2009-12-02,Delivered,Website,PayPal,Europe,0.0
489826,17867,2009-12-02,Delivered,Website,Bank Transfer,Europe,0.15
489827,17412,2009-12-02,Delivered,Mobile App,Credit Card,Europe,0.05
489829,16525,2009-12-02,Delivered,Mobile App,Credit Card,Europe,0.1
489830,13623,2009-12-02,Delivered,Website,PayPal,Europe,0.0
489831,12435,2009-12-02,Delivered,Mobile App,PayPal,Europe,0.1
489832,14549,2009-12-02,Delivered,Website,PayPal,Europe,0.05
