product_id,name,category,subcategory,unit_price,cost_price
10002,INFLATABLE POLITICAL GLOBE ,Gift & Novelty,General Gifts,0.85,0.47
10080,GROOVY CACTUS INFLATABLE,Gift & Novelty,General Gifts,0.39,0.21
10109,BENDY COLOUR PENCILS,Gift & Novelty,General Gifts,0.42,0.23
10120,DOGGY RUBBER,Gift & Novelty,General Gifts,0.21,0.12
10125,MINI FUNKY DESIGN TAPES,Home & Decor,Vintage Signs,0.85,0.47
10133,COLOURING PENCILS BROWN TUBE,Fashion,Jewellery,0.85,0.47
10134,COLOURING PENCILS BROWN TUBE,Fashion,Jewellery,1.25,0.69
10135,COLOURING PENCILS BROWN TUBE,Fashion,Jewellery,1.25,0.69
10138,ASSORTED COLOUR JUMBO PEN,Gift & Novelty,General Gifts,0.42,0.23
11001,ASSTD DESIGN RACING CAR PEN,Home & Decor,Vintage Signs,1.69,0.93
15030,FAN BLACK FRAME ,Home & Decor,Wall Art,0.29,0.16
15034,PAPER POCKET TRAVELING FAN ,Gift & Novelty,General Gifts,0.14,0.08
15036,ASSORTED COLOURS SILK FAN,Gift & Novelty,General Gifts,0.75,0.41
15039,SANDALWOOD FAN,Gift & Novelty,General Gifts,0.85,0.47
16008,SMALL FOLDING SCISSOR(POINTED EDGE),Gift & Novelty,General Gifts,0.12,0.07
16010,FOLDING CAMPING SCISSOR W/KNIF & S,Gift & Novelty,General Gifts,0.12,0.07
16011, ANIMAL STICKERS,Stationery,Cards & Notes,0.21,0.12
16012,FOOD/DRINK SPUNGE STICKERS,Stationery,Cards & Notes,0.21,0.12
16014,SMALL CHINESE STYLE SCISSOR,Gift & Novelty,General Gifts,0.42,0.23
16015,MEDIUM CHINESE STYLE SCISSOR,Gift & Novelty,General Gifts,0.5,0.28
16016,LARGE CHINESE STYLE SCISSOR,Gift & Novelty,General Gifts,0.85,0.47
16033,MINI HIGHLIGHTER PENS,Home & Decor,Lighting,0.12,0.07
16043,POP ART PUSH DOWN RUBBER ,Home & Decor,Wall Art,0.42,0.23
16044,POP-ART FLUORESCENT PENS,Home & Decor,Wall Art,0.24,0.13
16045,POPART WOODEN PENCILS ASST,Home & Decor,Wall Art,0.04,0.02
16046,TEATIME PEN CASE & PENS,Gift & Novelty,General Gifts,0.85,0.47
16047,POP ART PEN CASE & PENS,Home & Decor,Wall Art,0.85,0.47
16048,TEATIME ROUND PENCIL SHARPENER ,Gift & Novelty,General Gifts,0.12,0.07
16049,TEATIME GEL PENS ASST,Gift & Novelty,General Gifts,0.42,0.23
16050,TEATIME PENCIL WITH RUBBER,Gift & Novelty,General Gifts,0.25,0.14
16051,TEATIME PENCIL W STAMP ASST,Gift & Novelty,General Gifts,0.42,0.23
16052,TEATIME PUSH DOWN RUBBER,Gift & Novelty,General Gifts,0.42,0.23
16053,POPART COL BALLPOINT PEN ASST,Home & Decor,Wall Art,0.21,0.12
16054,POPART RECT PENCIL SHARPENER ASST,Home & Decor,Wall Art,0.12,0.07
16119,FUNKY GIRL ADDRESS BOOK,Gift & Novelty,General Gifts,1.25,0.69
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,Gift & Novelty,General Gifts,0.65,0.36
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,Gift & Novelty,General Gifts,0.65,0.36
16216,LETTER SHAPE PENCIL SHARPENER,Gift & Novelty,General Gifts,0.16,0.09
16218,CARTOON  PENCIL SHARPENERS,Home & Decor,Wall Art,0.06,0.03
16219,HOUSE SHAPE PENCIL SHARPENER,Gift & Novelty,General Gifts,0.06,0.03
16225,RATTLE SNAKE EGGS,Gift & Novelty,General Gifts,1.25,0.69
16235,RECYCLED PENCIL WITH RABBIT ERASER,Gift & Novelty,General Gifts,0.21,0.12
16236,KITTY PENCIL ERASERS,Gift & Novelty,General Gifts,0.21,0.12
16237,SLEEPING CAT ERASERS,Gift & Novelty,General Gifts,0.21,0.12
16238,PARTY TIME PENCIL ERASERS,Celebrations,Party Supplies,0.21,0.12
16239,BALLERINA HEART DECORATION.,Home & Decor,Wall Art,2.95,1.62
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,Gift & Novelty,General Gifts,0.85,0.47
16259,PIECE OF CAMO STATIONERY SET,Gift & Novelty,General Gifts,0.21,0.12
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,Gift & Novelty,General Gifts,0.29,0.16
17003,BROCADE RING PURSE ,Fashion,Jewellery,0.21,0.12
17021,NAMASTE SWAGAT INCENSE,Gift & Novelty,General Gifts,0.3,0.16
17033,"BROCADE PURSE,SMALL ARCH BUTTON",Gift & Novelty,General Gifts,0.29,0.16
17038,PORCELAIN BUDAH INCENSE HOLDER,Gift & Novelty,General Gifts,0.1,0.06
17039,INLAID WOOD INCENSE HOLDER,Gift & Novelty,General Gifts,0.29,0.16
17061,ASSORTED SHAPED STENCIL FOR HENNA,Gift & Novelty,General Gifts,0.04,0.02
17096,ASSORTED LAQUERED INCENSE HOLDERS,Gift & Novelty,General Gifts,0.21,0.12
17174,ASSTD RASTA KEY-CHAINS,Gift & Novelty,General Gifts,0.42,0.23
17178,FLAT PALM T-LIGHT HOLDER,Home & Decor,Lighting,1.25,0.69
17181,CIRCLE OF FRIENDS CANDLE HOLDER,Home & Decor,Lighting,2.55,1.4
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,Home & Decor,Storage,0.18,0.1
18010,ASSORTED FRAGRANCE BATH CONFETTI,Beauty,Bath & Body,0.42,0.23
20615,BLUE SPOTTY PASSPORT COVER,Gift & Novelty,General Gifts,2.1,1.16
20616,CHERRY BLOSSOM PASSPORT COVER,Gift & Novelty,General Gifts,2.1,1.16
20617,FIRST CLASS PASSPORT COVER ,Gift & Novelty,General Gifts,2.1,1.16
20618,QUEEN OF THE SKIES PASSPORT COVER ,Gift & Novelty,General Gifts,2.1,1.16
